carte_id,compte_id,type_carte,date_expiration,statut
1,856,Mastercard,2028-10-02,bloquee
2,664,CIB,2027-04-21,active
3,2572,Visa,2026-08-22,expiree
4,325,Visa,2026-10-12,active
5,2918,Mastercard,2028-06-06,active
6,2173,Visa,2026-05-01,active
7,2605,Mastercard,2024-01-04,bloquee
8,5369,Mastercard,2025-09-01,active
9,1158,Visa,2026-12-04,active
10,3606,CIB,2025-02-08,active
11,5149,CIB,2024-11-30,active
12,6769,CIB,2024-05-26,active
13,727,Visa,2027-03-24,active
14,5332,CIB,2027-07-17,active
15,6203,Visa,2024-02-26,bloquee
16,4019,CIB,2026-07-29,active
17,2214,Mastercard,2024-03-18,bloquee
18,290,Visa,2027-07-30,expiree
19,139,Visa,2024-09-12,active
20,2347,CIB,2027-07-17,active
21,4201,Mastercard,2025-10-15,active
22,3970,CIB,2025-08-30,active
23,6619,Mastercard,2025-10-06,active
24,28,CIB,2027-07-10,active
25,1254,Mastercard,2025-09-02,active
26,6869,Visa,2027-01-19,active
27,3747,Mastercard,2025-06-20,bloquee
28,6117,CIB,2028-10-10,active
29,5882,Visa,2026-07-22,bloquee
30,5384,Visa,2026-04-02,active
31,6015,CIB,2026-10-23,active
32,1056,CIB,2027-06-10,active
33,2278,Visa,2026-05-28,active
34,3611,CIB,2027-10-31,expiree
35,3127,Visa,2024-09-07,bloquee
36,6166,Visa,2027-02-22,active
37,1064,CIB,2024-01-05,active
38,6304,Visa,2027-05-16,expiree
39,4364,Mastercard,2027-09-30,active
40,6799,CIB,2027-01-24,active
41,5514,Mastercard,2028-04-15,expiree
42,4135,CIB,2024-05-13,active
43,2047,CIB,2026-03-20,active
44,142,Visa,2028-05-18,active
45,5784,CIB,2025-03-20,active
46,5889,CIB,2026-10-05,active
47,2167,CIB,2028-08-18,active
48,5201,Visa,2025-10-27,active
49,2232,Visa,2025-04-21,active
50,6020,CIB,2027-06-26,active
51,3315,CIB,2027-01-07,active
52,672,Mastercard,2026-02-21,active
53,6014,Visa,2025-08-09,active
54,241,CIB,2026-12-20,active
55,1265,Mastercard,2024-02-14,active
56,786,CIB,2024-11-09,active
57,4214,Visa,2028-03-15,expiree
58,23,Visa,2026-05-07,active
59,3898,Mastercard,2024-12-05,expiree
60,1458,CIB,2025-08-20,active
61,5502,Visa,2024-01-27,expiree
62,6338,Mastercard,2026-10-07,active
63,3546,Visa,2028-11-12,active
64,3504,Mastercard,2027-09-02,active
65,2907,Visa,2025-04-27,active
66,6150,CIB,2027-10-15,active
67,643,CIB,2025-08-15,active
68,1303,Mastercard,2025-03-28,active
69,1160,Mastercard,2027-09-02,active
70,1047,Mastercard,2028-05-19,bloquee
71,1703,Mastercard,2024-04-27,active
72,3734,Visa,2027-07-01,expiree
73,1420,Visa,2027-04-20,expiree
74,4496,CIB,2028-10-16,active
75,963,CIB,2024-07-06,active
76,700,Visa,2025-10-05,active
77,246,Visa,2027-07-28,active
78,4164,Mastercard,2027-02-19,active
79,4255,CIB,2027-12-14,bloquee
80,2025,Visa,2028-08-30,expiree
81,2079,Mastercard,2028-04-17,active
82,3185,Visa,2026-08-12,active
83,1832,Visa,2028-04-18,active
84,5295,Mastercard,2024-06-22,active
85,2166,CIB,2028-11-10,expiree
86,139,Mastercard,2027-02-14,active
87,2920,Visa,2028-06-18,active
88,4739,CIB,2025-12-20,active
89,3597,Mastercard,2028-03-08,active
90,278,CIB,2028-04-08,active
91,5071,Mastercard,2025-01-15,bloquee
92,4060,CIB,2024-09-04,bloquee
93,3807,CIB,2027-12-01,bloquee
94,6242,CIB,2024-09-18,active
95,3649,Visa,2028-09-10,active
96,3893,CIB,2027-02-17,active
97,4611,Mastercard,2026-02-05,active
98,1520,Visa,2024-10-25,active
99,1383,CIB,2026-08-07,active
100,5710,Mastercard,2025-06-17,active
101,654,CIB,2025-05-18,active
102,1676,CIB,2024-08-24,active
103,4983,Visa,2027-04-07,active
104,1143,CIB,2026-01-27,expiree
105,1578,Visa,2026-08-28,active
106,5340,CIB,2024-12-11,bloquee
107,2651,Visa,2026-06-23,active
108,4147,Visa,2027-03-04,active
109,2369,Visa,2025-03-06,active
110,713,Visa,2024-02-18,active
111,1221,Visa,2024-07-23,active
112,3277,Mastercard,2025-07-28,active
