compte_id,client_id,type_compte,date_ouverture,solde,statut
1,4108,professionnel,2015-09-18,259784.42,actif
2,96976,professionnel,2017-10-20,369855.63,actif
3,2744,epargne,2016-12-27,162743.65,cloture
4,3059,professionnel,2021-09-20,261560.51,cloture
5,1795,professionnel,2020-12-21,374913.16,actif
6,872,courant,2022-09-19,77850.59,actif
7,1543,professionnel,2015-01-04,446591.77,suspendu
8,884,epargne,2017-06-15,457921.85,actif
9,2512,courant,2021-11-28,151428.8,actif
10,792,courant,2015-05-27,8110.0,actif
11,1697,courant,2016-03-19,33510.92,actif
12,975,epargne,2021-01-30,330792.53,actif
13,4896,epargne,2020-11-02,193873.66,actif
14,3511,professionnel,2023-02-20,317609.8,actif
15,4026,courant,2023-07-04,159815.92,actif
16,3880,epargne,2016-08-31,211350.83,actif
17,2876,professionnel,2023-05-05,497319.16,actif
18,3994,courant,2023-01-29,126078.19,actif
19,2011,professionnel,2016-08-07,227343.1,actif
20,96976,professionnel,2022-12-26,17171.07,actif
21,3697,courant,2021-12-26,47476.88,actif
22,4862,professionnel,2015-06-25,467769.09,actif
23,4113,courant,2022-11-18,137370.57,actif
24,4389,professionnel,2015-10-30,126602.15,actif
25,4234,epargne,2017-12-16,451130.87,actif
26,1334,courant,2019-12-09,300560.17,actif
27,1269,courant,2018-05-22,241073.1,actif
28,3173,professionnel,2018-01-02,386231.33,actif
29,1497,courant,2020-10-14,432782.79,actif
30,4042,courant,2022-07-26,404209.26,suspendu
31,952,courant,2017-10-18,69602.65,actif
32,4958,professionnel,2015-05-28,219048.65,actif
33,3523,courant,2023-12-08,448844.73,actif
34,4453,courant,2022-02-14,236829.0,actif
35,4566,professionnel,2022-03-08,33469.27,actif
36,2930,epargne,2021-10-29,253556.78,actif
37,1127,courant,2015-05-30,80997.66,actif
38,1610,epargne,2021-05-08,278684.24,actif
39,1520,professionnel,2022-01-11,57924.91,actif
40,1659,courant,2020-02-10,66607.41,actif
41,92,epargne,2016-01-08,255098.01,actif
42,4298,professionnel,2019-07-11,292786.43,actif
43,1123,epargne,2019-02-23,430292.84,cloture
44,1546,professionnel,2023-01-29,239137.72,actif
45,1413,epargne,2016-03-16,73056.2,actif
46,4177,courant,2016-02-27,238844.2,suspendu
47,595,professionnel,2017-10-20,123533.91,cloture
48,2964,courant,2019-06-19,203195.73,cloture
49,352,epargne,2021-09-18,13832.62,actif
50,3062,epargne,2022-08-27,303218.26,cloture
51,1044,epargne,2023-09-02,444372.07,actif
52,1289,courant,2023-11-13,143813.84,cloture
53,3546,professionnel,2015-07-12,208658.22,actif
54,1193,professionnel,2015-09-06,184760.56,actif
55,3806,professionnel,2020-10-22,151748.44,actif
56,2680,epargne,2022-12-29,255719.98,actif
57,4830,professionnel,2017-05-02,234664.05,actif
58,4012,epargne,2023-10-18,308183.33,actif
59,2198,epargne,2019-12-01,297216.91,actif
60,96976,courant,2018-04-03,174256.61,actif
61,2745,professionnel,2022-01-01,139261.07,actif
62,1543,professionnel,2017-05-15,401122.21,actif
63,1557,professionnel,2021-02-24,356310.52,actif
64,1675,epargne,2023-11-06,86707.8,actif
65,2388,professionnel,2019-03-15,102866.91,cloture
66,2764,courant,2023-06-15,187499.31,actif
67,2218,professionnel,2022-10-23,268704.31,actif
68,4965,courant,2019-04-19,62214.64,actif
69,4512,epargne,2015-01-21,33273.2,cloture
70,2088,epargne,2022-09-26,467375.51,actif
71,2270,professionnel,2022-02-25,99595.01,actif
72,3504,professionnel,2023-05-01,297635.89,actif
73,3170,epargne,2017-01-12,69863.68,actif
74,447,courant,2016-03-12,138678.01,actif
75,2199,courant,2016-08-18,462873.9,actif
76,96976,courant,2016-01-08,4928.05,actif
77,2271,epargne,2022-04-24,120340.14,actif
78,4946,professionnel,2019-07-16,463925.77,actif
79,1937,courant,2015-05-23,276855.12,actif
80,1802,courant,2021-07-09,101570.6,actif
81,1314,courant,2019-08-04,404775.17,actif
82,2017,epargne,2018-10-05,121012.25,actif
83,1422,courant,2019-10-03,53693.45,actif
84,2528,epargne,2021-07-30,223082.6,actif
85,672,epargne,2022-07-22,221263.78,actif
86,3150,professionnel,2021-06-20,11513.29,cloture
87,1681,professionnel,2023-05-13,218325.14,cloture
88,2805,epargne,2015-05-09,249516.08,actif
89,3623,professionnel,2018-06-30,186480.53,actif
90,4924,professionnel,2021-06-04,84190.83,actif
