usage_id,client_id,date_connexion,canal,action
1,2017,2021-04-07 16:24:13,BBM,telechargement releve
2,1156,2022-11-11 17:28:06,BaridNet,paiement facture
3,91067,2023-04-09 11:23:11,BBM,consultation
4,47,2023-04-27 02:26:28,BaridNet,virement
5,958,2022-04-29 08:09:21,BBM,consultation
6,4364,2020-09-07 11:18:19,BBM,consultation
7,20,2024-03-09 22:03:38,BaridNet,telechargement releve
8,713,2022-06-20 20:16:28,BaridNet,consultation
9,872,2022-01-10 23:04:16,BBM,virement
10,1708,2022-10-22 05:27:45,BBM,paiement facture
11,253,2020-08-14 04:49:26,BaridNet,consultation
12,4891,2024-12-16 15:24:28,BBM,telechargement releve
13,2206,2024-11-30 00:42:59,BBM,paiement facture
14,2422,2023-05-21 13:05:54,BaridNet,virement
15,34,2023-11-20 08:46:58,BBM,virement
16,2399,2023-10-03 09:51:13,BaridNet,telechargement releve
17,4088,2024-11-01 16:17:34,BBM,paiement facture
18,4034,2022-11-09 06:46:38,BaridNet,virement
19,447,2022-10-23 19:31:33,BaridNet,consultation
20,3684,2023-05-12 06:58:30,BBM,virement
21,2880,2020-01-05 16:13:52,BaridNet,consultation
22,1360,2024-10-13 03:17:33,BBM,paiement facture
23,3656,2022-11-15 18:51:53,BBM,virement
24,3063,2024-04-18 00:29:54,BBM,paiement facture
25,2370,2021-09-03 01:59:14,BBM,telechargement releve
26,3851,2023-11-07 17:48:46,BaridNet,consultation
27,2377,2021-10-25 03:29:16,BaridNet,consultation
28,1129,2022-12-08 17:11:36,BaridNet,consultation
29,699,2024-12-15 05:20:53,BaridNet,virement
30,4078,2021-03-20 02:45:31,BBM,virement
31,2889,2020-01-05 08:43:20,BaridNet,paiement facture
32,2100,2020-10-14 13:51:32,BaridNet,consultation
33,1227,2022-11-17 18:39:10,BaridNet,consultation
34,4236,2021-10-10 07:44:34,BBM,consultation
35,292,2023-11-17 03:10:21,BaridNet,telechargement releve
36,4132,2023-08-28 09:34:22,BaridNet,consultation
37,3586,2024-12-28 18:43:58,BaridNet,virement
38,1472,2021-05-31 16:12:02,BBM,paiement facture
39,460,2023-05-11 12:19:29,BBM,virement
40,3984,2024-08-31 10:58:01,BBM,consultation
41,1864,2021-11-05 22:14:02,BaridNet,consultation
42,4432,2021-09-26 06:22:28,BaridNet,telechargement releve
43,2084,2021-04-23 20:58:45,BBM,virement
44,2140,2024-01-22 00:52:07,BaridNet,telechargement releve
45,548,2022-06-26 18:01:44,BBM,paiement facture
46,4519,2020-07-26 00:14:37,BaridNet,telechargement releve
47,2158,2022-10-15 13:01:05,BaridNet,telechargement releve
48,2724,2023-10-24 12:14:38,BaridNet,telechargement releve
49,4122,2020-12-04 04:46:51,BaridNet,paiement facture
50,3076,2024-10-12 15:29:07,BaridNet,telechargement releve
51,4188,2020-10-10 12:26:14,BBM,telechargement releve
52,31,2021-07-21 21:16:44,BBM,paiement facture
53,3700,2021-04-26 15:15:36,BaridNet,consultation
54,4455,2022-03-01 09:25:54,BBM,virement
55,3002,2022-05-21 23:30:42,BBM,virement
56,2334,2022-12-03 22:38:31,BBM,consultation
57,1861,2022-09-24 00:58:35,BBM,paiement facture
58,713,2020-10-29 09:53:30,BBM,consultation
59,735,2023-09-09 12:31:56,BaridNet,virement
60,2783,2023-07-06 10:14:16,BaridNet,telechargement releve
61,2080,2022-06-18 00:21:20,BaridNet,telechargement releve
62,89,2024-01-04 05:01:10,BBM,virement
63,1496,2020-06-14 02:07:59,BBM,paiement facture
64,3459,2024-05-11 19:08:22,BBM,virement
65,199,2023-12-10 07:09:52,BaridNet,consultation
66,1369,2021-04-17 15:06:30,BaridNet,paiement facture
67,1289,2023-02-06 05:59:20,BBM,virement
68,154,2020-09-23 01:08:34,BaridNet,virement
69,1562,2020-08-10 19:04:54,BaridNet,paiement facture
70,4088,2023-08-20 17:17:01,BBM,paiement facture
71,2162,2020-07-22 12:24:26,BBM,virement
72,3137,2022-05-25 09:23:59,BaridNet,telechargement releve
73,1568,2021-09-11 08:24:42,BBM,consultation
74,3483,2024-01-18 13:50:40,BBM,consultation
75,347,2021-02-14 06:20:05,BBM,telechargement releve
76,4661,2023-05-05 10:50:30,BBM,consultation
